what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1395199557489
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1395199557490
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1395199557491
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1395199557491
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1395199557492
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1395199557493
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1395199557494
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1395199557495
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1395199557498
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1395199557498
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1395199557499
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1395199557500
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1395199557500
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1395199557501
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1395199557502
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1395199557502
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1395199557505
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1395199557506
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1395199557507
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1395199557507
started,bundle,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse",1395199557545
os,sysinfo,,,"win32",1395199557548
arch,sysinfo,,,"x86_64",1395199557548
ws,sysinfo,,,"win32",1395199557548
locale,sysinfo,,,"pt_BR",1395199557548
processors,sysinfo,,,"4",1395199557548
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395199557548
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395199557548
java.specification.name,sysinfo,,,"Java Platform API Specification",1395199557548
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395199557548
java.specification.version,sysinfo,,,"1.7",1395199557548
java.vendor,sysinfo,,,"Oracle Corporation",1395199557548
java.version,sysinfo,,,"1.7.0_51",1395199557548
java.vm.info,sysinfo,,,"mixed mode",1395199557548
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1395199557548
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395199557548
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395199557548
java.vm.specification.version,sysinfo,,,"1.7",1395199557548
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395199557548
java.vm.version,sysinfo,,,"24.51-b03",1395199557548
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1395199557551
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1395199557690
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1395199558605
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1395199558724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395199559012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395199561034
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1395199563427
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1395199563430
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1395199563609
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1395199563656
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1395199563663
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1395199563761
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395199563832
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1395199563839
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1395199563857
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1395199563912
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1395199563927
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1395199563965
