what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1394840991410
started,bundle,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse",1394840991426
os,sysinfo,,,"win32",1394840991426
arch,sysinfo,,,"x86_64",1394840991426
ws,sysinfo,,,"win32",1394840991426
locale,sysinfo,,,"pt_BR",1394840991426
processors,sysinfo,,,"4",1394840991426
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394840991426
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1394840991426
java.specification.name,sysinfo,,,"Java Platform API Specification",1394840991426
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394840991426
java.specification.version,sysinfo,,,"1.7",1394840991426
java.vendor,sysinfo,,,"Oracle Corporation",1394840991426
java.version,sysinfo,,,"1.7.0_51",1394840991426
java.vm.info,sysinfo,,,"mixed mode",1394840991426
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1394840991426
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394840991426
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394840991426
java.vm.specification.version,sysinfo,,,"1.7",1394840991426
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394840991426
java.vm.version,sysinfo,,,"24.51-b03",1394840991426
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1394840991457
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394840991940
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1394840992034
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1394840992128
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1394840992674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841043436
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841047991
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841048116
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1394841163088
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1394841163104
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1394841163322
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1394841163884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841164383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841164399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841168361
error,log,,,"DDE command [DocOpen(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")][FileOpen(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841169219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841185147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394841209249
error,log,,,"DDE command [DocClose(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841210044
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394841220512
error,log,,,"Errors occurred during the build.",1394841220574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841221027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841229186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841269808
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1394841273381
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841273599
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841273693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394841280900
error,log,,,"DDE command [DocClose(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841281727
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394841287499
error,log,,,"Errors occurred during the build.",1394841287514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841287623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841290697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841291726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841294675
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1394841294737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841295096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841295127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841295767
error,log,,,"DDE command [DocOpen(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")][FileOpen(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841296001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841300400
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841302194
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841308527
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841308574
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841308605
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841309619
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841309666
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841311866
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841311866
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841312849
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841312927
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841313800
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841313800
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841316936
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841318901
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841318901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841320976
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841328917
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841329010
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841330711
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841339790
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841342863
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841425902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1394841428554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394841429069
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841431643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1394841432906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394841433577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394841435122
error,log,,,"DDE command [DocClose(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841436151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394841440301
error,log,,,"Errors occurred during the build.",1394841440316
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841440472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841440550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841443764
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841451751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1394841453483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394841455542
error,log,,,"DDE command [DocClose(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841455901
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394841460050
error,log,,,"Errors occurred during the build.",1394841460066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841460269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841465152
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841482046
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841482109
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841482109
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841484152
closed,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841484152
opened,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841499284
activated,editor,net.sourceforge.texlipse,1.5.0,"net.sourceforge.texlipse.TexEditor",1394841499316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1394841503933
error,log,,,"DDE command [DocClose(""C:\\Users\\Israel Cunha\\Google Drive\\TCC\\workspaceLatex\\TCC NUAPA LATEX\\out\\Principal.pdf"")] failed! (server: acroview, topic: control)",1394841504760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394841507880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394841509440
error,log,,,"Errors occurred during the build.",1394841509440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841509705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841511265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841512591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841516679
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1394841516757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841517318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841517334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394841517927
